8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	31	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	29	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	30	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	32	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	33	Active
Error	CS0246	The type or namespace name 'IExternalDBApplication' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	45	Active
Error	CS0246	The type or namespace name 'ExternalDBApplicationResult' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	57	Active
Error	CS0246	The type or namespace name 'ControlledApplication' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	57	Active
Error	CS0246	The type or namespace name 'ExternalDBApplicationResult' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	81	Active
Error	CS0246	The type or namespace name 'ControlledApplication' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\Application.cs	81	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\KeynotesDatabase.cs	28	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\KeynotesDatabase.cs	29	Active
Error	CS0246	The type or namespace name 'KeyBasedTreeEntriesLoadContent' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\KeynotesDatabase.cs	72	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	30	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	31	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	ExternalResourceDBServer	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExternalResourceServer\ExternalResourceDBServer\CS\SampleExternalResourceDBServer.cs	32	Active
